subject,relation,object
Ron,drop,Hermione can find
Hermione,drop,Hermione can find
Ron,drop,so Harry Hermione can find
Harry,drop,Harry Hermione can find
Harry,drop,so Harry can find
Ron,drop,Harry Ron can find
Hermione,drop,so Ron can find
Hermione,drop,Harry Ron Hermione can find
Ron,drop,Ron can find
Hermione,drop,so Harry Ron Hermione can find
Harry,drop,so Ron Hermione can find
Hermione,drop,so Harry Ron can find
Harry,drop,so Ron can find
Hermione,destroy,Voldemort 's remaining Horcruxes
Harry,drop,Harry can find
Harry,drop,Hermione can find
Hermione,drop,Ron can find
Ron,drop,so Harry can find
Ron,drop,so Ron Hermione can find
Ron,drop,so Harry Ron can find
Harry,drop,so Hermione can find
Ron,drop,Harry Ron Hermione can find
Ron,drop,so Hermione can find
Harry,drop,Ron Hermione can find
Harry,drop,Harry Ron Hermione can find
Ron,drop,so Ron can find
Voldemort,has,remaining Horcruxes
Hermione,drop,so Ron Hermione can find
Harry,drop,so Harry Hermione can find
Harry,own,safety
that,are,forced
that,isolate,Harry
ghoul,pretends,to ill with contagious disease
ghoul,pretends,ill
Hermione,sends,her parents
ghoul,pretends,ill with disease
Hermione,sends abroad,her parents
ghoul,pretends,to ill
Hermione,wipes,Harry parents ' memories
ghoul,pretends,ill with contagious disease
ghoul,pretends,to ill with disease
Voldemort 's remaining Horcruxes,for searches is,three legendary items
her parents,learn,details
her parents,learn,details about prophecy
her parents,learn,details about ancient prophecy of Hallows
her parents,details about,prophecy of Hallows
person,be,Master
her parents,details about,ancient prophecy of Deathly Hallows
her parents,details about,prophecy
her parents,learn,details about ancient prophecy
her parents,details about,ancient prophecy of Hallows
her parents,learn,details about prophecy of Deathly Hallows
person,be Master of,Death
person,united under,one Keeper
her parents,learn,details about ancient prophecy of Deathly Hallows
her parents,details about,ancient prophecy
her parents,details about,prophecy of Deathly Hallows
Voldemort,for,remaining Horcruxes
her parents,learn,details about prophecy of Hallows
Harry,discovers,Harry handy Invisibility Cloak
Elder Wand,wand in,history
powerful wand,is in,history
Harry,discovers,Harry Invisibility Cloak
Voldemort,be searching for,another
Snape,has,true motives
Harry,worked about,Dumbledore 's past
Harry,worked on,Dumbledore 's behalf
Dumbledore,on,behalf
Harry,worked since,murder of Harry 's mother
Harry,of,mother
Dumbledore,about,past
Harry friends,learn At,end of book
Harry friends,learn At,end
Harry,worked since,murder
Snape,is killed by,Voldemort
Snape,Eventually is killed by,Voldemort
Chamber,culminates in,Battle
Chamber,culminates in,Battle of Hogwarts
conjunction,is with,members of Order of Phoenix
Several major characters,are killed in,wave of battle
characters,are killed in,first wave including Remus Lupin
Several characters,are killed in,wave including Remus Lupin
characters,are killed in,first wave of battle including Remus Lupin
Several major characters,are killed in,wave of battle including Remus Lupin
Several characters,are killed in,wave
Several major characters,are killed in,first wave of battle
Several characters,are killed in,first wave including Remus Lupin
major characters,are killed in,first wave
Several characters,are,killed
Several characters,are killed in,wave of battle
Several characters,are killed in,first wave
major characters,are killed in,wave of battle
major characters,are killed in,first wave including Remus Lupin
major characters,are,killed
major characters,are killed in,wave
characters,are killed in,wave
characters,are killed in,first wave
Several major characters,are killed in,first wave of battle including Remus Lupin
Remus Lupin,brother 's,Ron
characters,are killed in,first wave of battle
Ron,has,older brother
Several major characters,are,killed
Several major characters,are killed in,wave including Remus Lupin
major characters,are killed in,first wave of battle
Several characters,are killed in,wave of battle including Remus Lupin
major characters,are killed in,wave of battle including Remus Lupin
major characters,are killed in,wave including Remus Lupin
Several characters,are killed in,first wave of battle including Remus Lupin
Several major characters,are killed in,wave
characters,are killed in,wave including Remus Lupin
Several characters,are killed in,first wave of battle
characters,are,killed
major characters,are killed in,first wave of battle including Remus Lupin
characters,are killed in,wave of battle
Several major characters,are killed in,first wave including Remus Lupin
Several major characters,are killed in,first wave
characters,are killed in,wave of battle including Remus Lupin
Harry,surrenders,himself
Harry,faces,Voldemort
Horcruxes,have,have destroyed
Voldemort 's curse,rebounds off,Harry 's spell
Voldemort 's curse,rebounds off,Harry 's defensive spell
Voldemort 's killing curse,rebounds off,Harry 's defensive spell
Voldemort 's killing curse,rebounds off,Harry 's spell
Voldemort,has,killing curse
Harry,has,defensive spell killing
epilogue Nineteen Years,Later describes,lives
epilogue Nineteen Years,Later describes,lives of surviving characters
epilogue Nineteen Years,describes,lives of characters
epilogue Nineteen Years,describes,lives of surviving characters
Voldemort,of,death on Wizarding World
epilogue Nineteen Years,Later describes,lives of characters
epilogue Nineteen Years,describes,lives
Ron,are,In epilogue married
Ron,are,married
Ron,are,married with three children
Ron,are,married with two children
Ron,are,In epilogue married with three children
cousin – Dursleys –,discovers,age
non-magical people,known,Muggles
The wizarding world,exists,parallel Muggle world
children abilities,invited,attend exclusive magic schools
necessary skills,succeed wizarding,world
Harry,becomes,student Hogwarts School Witchcraft Wizardry
events series,take,place
Harry,develops,adolescence
test,preparing,confrontation
Harry,viewing,memories characters
others,invented,Rowling
real world,contains,magical versions
Surrey,southeast,England
magical beings comprises,fragmented,collection
apparent significant event,taken,place
desperate prevention Harry,learning,abilities
first contact,wizarding,world
Harry,survived,lightning-shaped scar forehead memento attack
Harry,become living,legend
Harry,placed,home
meals,treating,servant
famous magic school Scotland,educates,young teenagers
Harry,prepares,undertakes
reader,introduced,many primary locations
broomsticks,recruited,house
sport,wizarding,world players
The first book,concludes,Harry
substance bestows,everlasting,life
The series,continues,Harry Potter Chamber Secrets
old notebook belongings,turns,diary previous student
bent,ridding,school
derogatory term,describing,wizards witches
Ginny,acts,Voldemort
Harry discovers,prejudice,exists Wizarding World
wizards witches,descended,Muggles
puzzles,unlock,Chamber Secrets
Harry,destroying,diary good saving Ginny
culprit,slipped,book Ginny
Harry,must deal,knowledge
mass murderer,assisted,murder Harry
Harry,struggles,reaction dementors
dark creatures power,devour,human soul feed despair –
Harry,comes know,Lupin Black
father Black,framed,fourth friend
series,emphasised,–
red café Rowling,wrote,chapters Harry Potter Philosopher
cafés Edinburgh Rowling,wrote,first part Harry Potter
Cafe,renamed,Spoon Edinburgh J. K. Rowling
tasks order,win,Triwizard Cup
Harry,must compete witch,wizard
Harry,guided,tournament new Defence Against Dark Arts professor
supporters,named,Barty Crouch
The point mystery,unravelled,marks series
Dumbledore,re-activates,Order Phoenix
secret society,works,Sirius Black
minions,protect,Voldemort
magical world refuse,believe,Voldemort
prominent voice Wizarding World,attempting,warn Voldemort
Ministry,appoints,Dolores Umbridge High Inquisitor Hogwarts
dictatorial regime refuses,transforms,school
dictatorial regime refuses,allow,students
ways,defend,dark magic
secret study group Harry,agrees teach,classmates
higher-level skills Defence Against Dark Arts,learned,previous encounters Dark wizards
Harry,begins develop,crush popular attractive Cho Chang
incessant persistent efforts,land,trouble
Harry,begins,lose sleep
An important prophecy,concerning,Harry Lord Voldemort
Harry,discovers,Voldemort
Harry,tricked seeing,Sirius
timely arrival members,Order,Phoenix
Sirius Black,killed,conflict
Voldemort,begins waging,open warfare
Ron,subject,difficulties adolescence – Harry
Ron,establishes,strong infatuation fellow Hogwarts student Lavender Brown
Hermione,starts develop,romantic feelings towards Ron
Harry,given,old potions
many annotations recommendations,signed,mysterious writer
Harry,takes,private lessons Dumbledore
various memories,concerning,early life Voldemort device
Voldemort,split,soul pieces
items,hidden,various locations
return,collecting,Horcrux
book culminates,killing,Dumbledore Professor Snape
Lord Voldemort,completed,ascension power
Ron Hermione drop school,find,destroy Voldemort
A ghoul,pretends,Ron
Hermione,wipes,parents
Harry,discovers,handy Invisibility Cloak
Harry,friends learn,Dumbledore
true motives,– worked,Dumbledore
Snape,killed,Voldemort paranoia
The book,culminates,Battle Hogwarts
Harry,surrenders,Voldemort Forbidden Forest
The defenders Hogwarts surrender,learning,Harry
Harry,awakens faces,Voldemort
curse,rebounds,Harry
lives,surviving,characters effects Voldemort
